date,Россия,Великобритания,США,Германия,Индия,Южная Корея,Бразилия
2024-10-08,4268.857142857143,579.5714285714286,0.0,1.5714285714285714,22.285714285714285,0.0,0.0
2024-10-09,4268.857142857143,579.5714285714286,0.0,1.5714285714285714,22.285714285714285,0.0,0.0
2024-10-10,4268.857142857143,579.5714285714286,0.0,1.5714285714285714,22.285714285714285,0.0,0.0
2024-10-11,4268.857142857143,579.5714285714286,0.0,1.5714285714285714,22.285714285714285,0.0,0.0
2024-10-12,4268.857142857143,579.5714285714286,0.0,1.5714285714285714,22.285714285714285,0.0,0.0
2024-10-13,4268.857142857143,579.5714285714286,0.0,1.5714285714285714,22.285714285714285,0.0,0.0
2024-10-14,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-15,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-16,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-17,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-18,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-19,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-20,3539.5714285714284,558.4285714285714,0.0,1.2857142857142858,19.0,0.0,0.0
2024-10-21,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-22,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-23,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-24,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-25,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-26,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-27,3551.0,429.14285714285717,0.0,1.0,16.428571428571427,0.0,0.0
2024-10-28,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-10-29,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-10-30,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-10-31,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-11-01,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-11-02,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-11-03,3439.4285714285716,307.0,0.0,1.2857142857142858,12.142857142857142,0.0,0.0
2024-11-04,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-05,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-06,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-07,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-08,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-09,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-10,3199.714285714286,249.71428571428572,0.0,1.7142857142857142,9.285714285714286,0.0,0.0
2024-11-11,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-12,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-13,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-14,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-15,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-16,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-17,3586.8571428571427,198.57142857142858,0.0,0.5714285714285714,8.857142857142858,0.0,0.0
2024-11-18,4136.857142857143,202.71428571428572,0.0,0.7142857142857143,6.857142857142857,0.0,0.0
2024-11-19,4136.857142857143,202.71428571428572,0.0,0.7142857142857143,6.857142857142857,0.0,0.0
2024-11-20,4136.857142857143,202.71428571428572,0.0,0.7142857142857143,6.857142857142857,0.0,0.0
2024-11-21,4136.857142857143,202.71428571428572,0.0,0.7142857142857143,6.857142857142857,0.0,0.0
2024-11-22,4136.857142857143,202.71428571428572,0.0,0.7142857142857143,6.857142857142857,0.0,0.0
2024-11-23,4136.857142857143,202.71428571428572,0.0,0.7142857142857143,6.857142857142857,0.0,0.0
